,From,To,p-value,Company
175,2020-08-13 00:00:00,2021-03-08 00:00:00,0.09052581440664263,FDS
176,2020-08-26 00:00:00,2021-05-06 00:00:00,0.17665142381908394,FDX
177,2022-07-12 00:00:00,2023-10-23 00:00:00,0.06355420328356864,FE
179,2020-09-15 00:00:00,2021-03-17 00:00:00,0.4881003712277341,FI
180,2022-12-15 00:00:00,2023-04-28 00:00:00,0.8442699520772082,FICO
182,2021-03-18 00:00:00,2022-11-17 00:00:00,0.05930055450442495,FITB
185,2021-07-08 00:00:00,2022-10-27 00:00:00,0.17065091286330478,FRT
189,2020-07-23 00:00:00,2021-12-22 00:00:00,0.0900352735290192,GD
193,2023-02-14 00:00:00,2024-01-04 00:00:00,0.2195186540326007,GILD
195,2021-09-03 00:00:00,2023-02-06 00:00:00,0.05700953368280599,GL
197,2021-06-07 00:00:00,2022-11-18 00:00:00,0.07321914625086089,GM
199,2022-01-07 00:00:00,2022-09-28 00:00:00,0.2597194669943247,GOOG
201,2020-11-17 00:00:00,2023-02-17 00:00:00,0.173361554041917,GPC
202,2022-12-09 00:00:00,2023-04-17 00:00:00,0.8800862740387249,GPN
203,2021-11-10 00:00:00,2022-06-08 00:00:00,0.13237758840783834,GRMN
204,2023-02-01 00:00:00,2023-10-26 00:00:00,0.13587736788157664,GS
205,2020-08-05 00:00:00,2021-03-15 00:00:00,0.2870088685989785,GWW
206,2021-08-04 00:00:00,2022-01-25 00:00:00,0.9463450484671541,HAL
207,2021-09-13 00:00:00,2022-11-11 00:00:00,0.19719500382184868,HAS
209,2023-03-20 00:00:00,2023-09-05 00:00:00,0.5662483345206852,HCA
211,2021-04-23 00:00:00,2023-06-05 00:00:00,0.053300363016576084,HIG
212,2020-09-22 00:00:00,2022-07-06 00:00:00,0.15895910042829509,HII
214,2021-05-11 00:00:00,2021-11-05 00:00:00,0.3542885378355913,HOLX
217,2023-12-12 00:00:00,2024-04-30 00:00:00,0.22689148385659602,HPQ
220,2022-08-23 00:00:00,2022-12-22 00:00:00,0.411236119368661,HST
222,2022-03-14 00:00:00,2022-12-09 00:00:00,0.07441088984768784,HUBB
224,2022-01-27 00:00:00,2022-07-12 00:00:00,0.08234327962668711,HWM
226,2022-05-16 00:00:00,2022-11-08 00:00:00,0.7371218061808138,ICE
228,2020-12-02 00:00:00,2022-11-16 00:00:00,0.06746496683264494,IEX
229,2022-04-13 00:00:00,2023-02-08 00:00:00,0.057135765097039756,IFF
232,2021-09-13 00:00:00,2023-05-04 00:00:00,0.24027741385524906,INTU
233,2024-01-23 00:00:00,2024-07-18 00:00:00,0.8135221044050605,INVH
235,2023-10-16 00:00:00,2024-08-28 00:00:00,0.20938079019148,IPG
236,2022-11-22 00:00:00,2023-04-27 00:00:00,0.4873147583357491,IQV
237,2021-06-08 00:00:00,2023-06-22 00:00:00,0.0677247464564212,IR
238,2022-09-27 00:00:00,2023-05-16 00:00:00,0.07288881097816487,IRM
239,2022-05-09 00:00:00,2022-10-10 00:00:00,0.43621845946792925,ISRG
241,2020-08-13 00:00:00,2021-12-09 00:00:00,0.06122064573772147,ITW
243,2023-01-19 00:00:00,2023-06-15 00:00:00,0.10886752817368003,J
244,2023-04-18 00:00:00,2023-10-17 00:00:00,0.7160983322276853,JBHT
247,2024-05-28 00:00:00,2024-10-14 00:00:00,0.23933432046620048,JKHY
249,2022-03-07 00:00:00,2022-08-26 00:00:00,0.117562280805382,JPM
251,2024-05-16 00:00:00,2024-10-16 00:00:00,0.7854581805193621,KDP
252,2021-07-30 00:00:00,2022-01-28 00:00:00,0.2079905124541788,KEY
253,2020-10-02 00:00:00,2022-12-29 00:00:00,0.0648763376001358,KEYS
